original,sanitized
Timestamp,datetime
[4E Energeiaki 176 KWp Likovouni] 4E Energeiaki 176 KWp Likovouni Average Irradiance (W*m^-2),4e_energeiaki_176_kwp_likovouni__m_4e_energeiaki_176_kwp_likovouni_average_irradiance__w_m_2
[4E Energeiaki 176 KWp Likovouni] PCC PCC Current THD-R of neutral (%),4e_energeiaki_176_kwp_likovouni__pcc_current_thd_r_of_neutral__pct
[4E Energeiaki 176 KWp Likovouni] PCC PCC Current THD-R of phase L1 (%),4e_energeiaki_176_kwp_likovouni__pcc_current_thd_r_of_phase_l1__pct
[4E Energeiaki 176 KWp Likovouni] PCC PCC Current THD-R of phase L2 (%),4e_energeiaki_176_kwp_likovouni__pcc_current_thd_r_of_phase_l2__pct
[4E Energeiaki 176 KWp Likovouni] PCC PCC Current THD-R of phase L3 (%),4e_energeiaki_176_kwp_likovouni__pcc_current_thd_r_of_phase_l3__pct
[4E Energeiaki 176 KWp Likovouni] PCC PCC active energy export (kWh),4e_energeiaki_176_kwp_likovouni__pcc_active_energy_export__kwh
[4E Energeiaki 176 KWp Likovouni] PCC PCC active energy import (kWh),4e_energeiaki_176_kwp_likovouni__pcc_active_energy_import__kwh
[4E Energeiaki 176 KWp Likovouni] PCC PCC apparent energy (kVAh),4e_energeiaki_176_kwp_likovouni__pcc_apparent_energy__kvah
[4E Energeiaki 176 KWp Likovouni] PCC PCC average current (A),4e_energeiaki_176_kwp_likovouni__pcc_average_current__a
[4E Energeiaki 176 KWp Likovouni] PCC PCC average line voltage (Vac),4e_energeiaki_176_kwp_likovouni__pcc_average_line_voltage__vac
[4E Energeiaki 176 KWp Likovouni] PCC PCC average phase voltage (Vac),4e_energeiaki_176_kwp_likovouni__pcc_average_phase_voltage__vac
[4E Energeiaki 176 KWp Likovouni] PCC PCC current of phase L1 (A),4e_energeiaki_176_kwp_likovouni__pcc_current_of_phase_l1__a
[4E Energeiaki 176 KWp Likovouni] PCC PCC current of phase L2 (A),4e_energeiaki_176_kwp_likovouni__pcc_current_of_phase_l2__a
[4E Energeiaki 176 KWp Likovouni] PCC PCC current of phase L3 (A),4e_energeiaki_176_kwp_likovouni__pcc_current_of_phase_l3__a
[4E Energeiaki 176 KWp Likovouni] PCC PCC current unbalance of phase L1 (%),4e_energeiaki_176_kwp_likovouni__pcc_current_unbalance_of_phase_l1__pct
[4E Energeiaki 176 KWp Likovouni] PCC PCC current unbalance of phase L2 (%),4e_energeiaki_176_kwp_likovouni__pcc_current_unbalance_of_phase_l2__pct
[4E Energeiaki 176 KWp Likovouni] PCC PCC current unbalance of phase L3 (%),4e_energeiaki_176_kwp_likovouni__pcc_current_unbalance_of_phase_l3__pct
[4E Energeiaki 176 KWp Likovouni] PCC PCC frequency (Hz),4e_energeiaki_176_kwp_likovouni__pcc_frequency__hz
[4E Energeiaki 176 KWp Likovouni] PCC PCC power factor of phase L1 (-),4e_energeiaki_176_kwp_likovouni__pcc_power_factor_of_phase_l1
[4E Energeiaki 176 KWp Likovouni] PCC PCC power factor of phase L2 (-),4e_energeiaki_176_kwp_likovouni__pcc_power_factor_of_phase_l2
